age,gender,past_purchases,campaign_variant,ad_source,email_signup,campaign_spend
32,Man,21,C,TikTok,TRUE,70.18
37,Man,29,A,Google Search,FALSE,115.82
63,Woman,14,B,Google Search,FALSE,374.88
41,Man,50,B,Facebook,FALSE,82.32
42,Man,44,A,TikTok,FALSE,47.82
66,Man,40,C,Facebook,TRUE,181.23
47,Non-Binary,21,A,Facebook,TRUE,187.5
21,Woman,72,C,Google Search,TRUE,203.9
30,Woman,61,A,Instagram,FALSE,112.98
33,Man,46,B,Google Search,TRUE,213.26
58,Woman,41,A,TikTok,FALSE,210.03
45,Woman,20,C,Facebook,TRUE,273.73
46,Woman,50,A,TikTok,TRUE,110.24
42,Man,32,B,Facebook,FALSE,104.69
32,Woman,56,A,Google Search,TRUE,230.88
67,Man,13,A,Instagram,FALSE,277.83
47,Man,42,B,Facebook,TRUE,185.61
18,Man,64,B,Instagram,TRUE,91.11
51,Man,26,A,Google Search,TRUE,171.7
33,Woman,56,A,Google Search,TRUE,119.13
24,Man,71,A,Google Search,TRUE,116.86
37,Man,6,A,Facebook,TRUE,38.39
25,Woman,60,A,Google Search,TRUE,108.21
29,Woman,82,A,Facebook,FALSE,41.07
31,Woman,48,B,TikTok,FALSE,171.36
18,Man,38,C,Instagram,TRUE,4.32
53,Woman,39,A,Facebook,FALSE,140.69
42,Woman,32,A,TikTok,TRUE,146.81
23,Man,22,A,Facebook,FALSE,85.1
59,Man,16,C,TikTok,TRUE,120.84
46,Woman,7,B,Instagram,TRUE,403.1
36,Woman,36,C,Instagram,TRUE,292.22
53,Man,33,C,Google Search,TRUE,308.88
53,Woman,47,C,Facebook,TRUE,288.58
52,Man,28,A,Instagram,TRUE,168.88
50,Woman,37,A,Instagram,TRUE,246.98
48,Other,32,A,Facebook,TRUE,133.69
39,Man,44,C,TikTok,TRUE,121.96
35,Man,16,A,Facebook,FALSE,134.06
34,Man,35,C,Google Search,FALSE,136.6
30,Man,55,C,Google Search,TRUE,122.76
37,Man,29,C,Facebook,FALSE,149.74
21,Man,32,C,TikTok,TRUE,8.23
73,Man,17,A,Facebook,TRUE,200.54
58,Man,31,B,TikTok,FALSE,226.45
23,Man,51,C,Google Search,FALSE,128
34,Man,49,A,Google Search,FALSE,118.94
33,Woman,37,B,Facebook,TRUE,190.17
52,Man,41,B,TikTok,FALSE,181.7
39,Man,47,A,TikTok,TRUE,104.61
44,Man,37,C,Facebook,TRUE,183.43
40,Woman,54,A,Google Search,FALSE,163.73
39,Non-Binary,29,B,Google Search,TRUE,227.74
61,Woman,58,C,Facebook,TRUE,265.96
37,Woman,40,A,Google Search,TRUE,193.63
63,Man,38,C,Facebook,TRUE,227.13
18,Woman,83,B,Facebook,TRUE,163.27
49,Man,9,C,Facebook,FALSE,118.35
42,Man,28,B,Google Search,TRUE,210.63
43,Man,33,B,Instagram,TRUE,166.41
46,Woman,28,B,Instagram,TRUE,340.97
32,Woman,59,A,Instagram,TRUE,134.22
35,Woman,49,C,Facebook,FALSE,171.59
25,Man,37,B,Instagram,TRUE,195.22
24,Woman,49,A,Facebook,TRUE,71.69
45,Man,46,A,Google Search,TRUE,165.26
47,Woman,46,C,TikTok,TRUE,218.72
41,Man,17,A,Facebook,TRUE,189.05
54,Man,52,B,Google Search,TRUE,280.2
71,Woman,37,A,Facebook,FALSE,287.04
33,Man,40,B,Instagram,TRUE,190.56
18,Woman,95,C,Facebook,TRUE,95.87
55,Man,9,B,Google Search,FALSE,297.71
29,Woman,31,C,Facebook,TRUE,212.52
30,Man,5,C,TikTok,FALSE,155.27
55,Woman,24,A,TikTok,TRUE,223.97
36,Woman,41,B,Google Search,TRUE,189.48
22,Non-Binary,80,A,Instagram,FALSE,112.66
43,Non-Binary,66,A,Instagram,TRUE,239.24
38,Woman,51,C,TikTok,TRUE,191.65
40,Non-Binary,46,A,Instagram,FALSE,189.13
46,Woman,34,C,Facebook,TRUE,258.47
34,Woman,65,C,Facebook,TRUE,232.34
50,Woman,27,C,Google Search,TRUE,364.24
37,Woman,47,C,Facebook,TRUE,206.07
45,Woman,34,B,Facebook,FALSE,186.86
56,Woman,25,A,TikTok,TRUE,192.44
47,Man,30,A,Instagram,TRUE,192.24
35,Man,42,C,TikTok,TRUE,156.22
